(0.036621094+0.05810547j);(0.037597656-0.03125j)
(0.030273438-0.0625j);(-0.034179688-0.017089844j)
(0.040039062-0.07080078j);(-0.040527344-0.016601562j)
(0.036621094-0.064941406j);(-0.034179688-0.020507812j)
(0.04248047-0.060058594j);(-0.038085938-0.01953125j)
(0.04248047-0.06982422j);(-0.034179688-0.024902344j)
(0.04736328-0.056640625j);(-0.03466797-0.021484375j)
(0.04638672-0.0625j);(-0.032714844-0.028320312j)
(0.053710938-0.055664062j);(-0.030761719-0.025878906j)
(0.04736328-0.057617188j);(-0.032714844-0.030273438j)
(0.05810547-0.051757812j);(-0.02734375-0.030273438j)
(0.051757812-0.055664062j);(-0.032714844-0.03173828j)
(0.061035156-0.04736328j);(-0.022460938-0.03564453j)
(0.05810547-0.05126953j);(-0.032714844-0.032226562j)
(0.061035156-0.045410156j);(-0.017089844-0.0390625j)
(0.063964844-0.04248047j);(-0.032226562-0.03515625j)
(0.059570312-0.044921875j);(-0.016601562-0.0390625j)
(0.068359375-0.036132812j);(-0.0234375-0.03955078j)
(0.064941406-0.037109375j);(-0.018554688-0.040527344j)
(0.06933594-0.036621094j);(-0.016113281-0.04248047j)
(0.068847656-0.027832031j);(-0.016113281-0.040039062j)
(0.07080078-0.03125j);(-0.015136719-0.045410156j)
(0.07080078-0.026855469j);(-0.009277344-0.041503906j)
(0.07128906-0.021484375j);(-0.0146484375-0.04736328j)
(0.07373047-0.025878906j);(-0.0043945312-0.043945312j)
(0.07324219-0.013671875j);(-0.012207031-0.048339844j)
(0.07373047-0.015625j);(-0.0009765625-0.045898438j)
(0.07324219-0.015136719j);(-0.009765625-0.046875j)
(0.07373047-0.0053710938j);(0.001953125-0.04736328j)
(0.07421875-0.01171875j);(-0.0024414062-0.046875j)
(0.072753906-0.0024414062j);(0.00048828125-0.05078125j)
(0.075683594-0.0009765625j);(0.00390625-0.045898438j)
(0.07080078-0.0014648438j);(0.0024414062-0.052734375j)
(0.07861328+0.0063476562j);(0.009765625-0.044433594j)
(0.06933594+0.005859375j);(0.00390625-0.053710938j)
(0.076171875+0.0107421875j);(0.013671875-0.045410156j)
(0.0703125+0.0068359375j);(0.008300781-0.049804688j)
(0.071777344+0.01953125j);(0.015625-0.046875j)
(0.071777344+0.011230469j);(0.013671875-0.05029297j)
(0.06689453+0.022949219j);(0.021484375-0.045898438j)
(0.072265625+0.021484375j);(0.0126953125-0.049804688j)
(0.06298828+0.021972656j);(0.026855469-0.044921875j)
(0.07080078+0.03125j);(0.017578125-0.04736328j)
(0.059570312+0.026855469j);(0.024902344-0.045410156j)
(0.068359375+0.033203125j);(0.02734375-0.044433594j)
(0.05908203+0.03466797j);(0.024414062-0.045410156j)
(0.06347656+0.038085938j);(0.03125-0.041015625j)
(0.056640625+0.03564453j);(0.029785156-0.045898438j)
(0.056640625+0.046875j);(0.029296875-0.0390625j)
(0.055664062+0.03857422j);(0.03466797-0.04345703j)
