#Parameters = {Lp=28.7; Ls=53.9; Wavelength=2; WavelengthsNumber=2; Wf=2; Wp=39.6; Ws=60; connectorLine=2.6; feedline=10; h=1.61; tc=0.035; unionLine=60; y0=5}
#"Frequency / GHz"	"S1,1 (2) [Magnitude / dB]"
#---------------------------------------------
2.2000000476837	-2.1115573692834
2.2004001140594	-2.1219755689645
2.2007999420166	-2.1323960076334
2.2012000083923	-2.1428183563211
2.2016000747681	-2.1532409979854
2.2019999027252	-2.1636629274663
2.2023999691010	-2.1740844635835
2.2028000354767	-2.1845025601646
2.2032001018524	-2.1949188490995
2.2035999298096	-2.2053302310138
2.2039999961853	-2.2157376469182
2.2044000625610	-2.2261413288958
2.2047998905182	-2.2365361345025
2.2051999568939	-2.2469282027845
2.2056000232697	-2.2573104792987
2.2060000896454	-2.2676857625705
2.2063999176025	-2.2780528107035
2.2067999839783	-2.2884111142674
2.2072000503540	-2.2987607128227
2.2076001167297	-2.3091012080462
2.2079999446869	-2.3194318027729
2.2084000110626	-2.3297527530275
2.2088000774384	-2.3400626801338
2.2091999053955	-2.3503628831342
2.2095999717712	-2.3606508956386
2.2100000381470	-2.3709298762291
2.2104001045227	-2.3811966414290
2.2107999324799	-2.3914523598981
2.2111999988556	-2.4016978296219
2.2116000652313	-2.4119301674477
2.2119998931885	-2.4221542069037
2.2123999595642	-2.4323657316095
2.2128000259399	-2.4425665811603
2.2132000923157	-2.4527561911535
2.2135999202728	-2.4629356674375
2.2139999866486	-2.4731036326427
2.2144000530243	-2.4832630896095
2.2147998809814	-2.4934130443090
2.2151999473572	-2.5035530297606
2.2156000137329	-2.5136835582443
2.2160000801086	-2.5238046906944
2.2163999080658	-2.5339187078901
2.2167999744415	-2.5440241389051
2.2172000408173	-2.5541222832497
2.2176001071930	-2.5642148015256
2.2179999351501	-2.5742995096052
2.2184000015259	-2.5843798272858
2.2188000679016	-2.5944538470133
2.2191998958588	-2.6045241033237
2.2195999622345	-2.6145913417454
2.2200000286102	-2.6246557742415
2.2204000949860	-2.6347179771198
2.2207999229431	-2.6447773824937
2.2211999893188	-2.6548388076112
2.2216000556946	-2.6648973507424
2.2219998836517	-2.6749586202822
2.2223999500275	-2.6850224176777
2.2228000164032	-2.6950879256001
2.2232000827789	-2.7051589603234
2.2235999107361	-2.7152330256475
2.2239999771118	-2.7253141891939
2.2244000434875	-2.7354013647457
2.2248001098633	-2.7454969611951
2.2251999378204	-2.7556015443000
2.2256000041962	-2.7657160603517
2.2260000705719	-2.7758410808804
2.2263998985291	-2.7859797160191
2.2267999649048	-2.7961308212141
2.2272000312805	-2.8062970723842
2.2276000976562	-2.8164797270600
2.2279999256134	-2.8266787734307
2.2283999919891	-2.8368964122786
2.2288000583649	-2.8471329639964
2.2291998863220	-2.8573915203577
2.2295999526978	-2.8676718940318
2.2300000190735	-2.8779761177854
2.2304000854492	-2.8883044897557
2.2307999134064	-2.8986577722985
2.2311999797821	-2.9090402639937
2.2316000461578	-2.9194510078994
2.2320001125336	-2.9298928884933
2.2323999404907	-2.9403663795343
2.2328000068665	-2.9508714280278
2.2332000732422	-2.9614128315242
2.2335999011993	-2.9719891604057
2.2339999675751	-2.9826030787656
2.2344000339508	-2.9932559136771
2.2348001003265	-3.0039497645560
2.2351999282837	-3.0146852587171
2.2355999946594	-3.0254651444308
2.2360000610352	-3.0362886136206
2.2363998889923	-3.0471584198386
2.2367999553680	-3.0580767885900
2.2372000217438	-3.0690442591212
2.2376000881195	-3.0800628899074
2.2379999160767	-3.0911342953226
2.2383999824524	-3.1022596449676
2.2388000488281	-3.1134404210381
2.2392001152039	-3.1246787608324
2.2395999431610	-3.1359761169256
2.2400000095367	-3.1473341061227
2.2404000759125	-3.1587523815520
2.2407999038696	-3.1702378209788
2.2411999702454	-3.1817852436380
2.2416000366211	-3.1934009671519
2.2420001029968	-3.2050849335236
2.2423999309540	-3.2168396633640
2.2427999973297	-3.2286651326689
2.2432000637054	-3.2405641823778
2.2435998916626	-3.2525378434565
2.2439999580383	-3.2645892711986
2.2444000244141	-3.2767181031460
2.2448000907898	-3.2889256155447
2.2451999187469	-3.3012161380833
2.2455999851227	-3.3135886430041
2.2460000514984	-3.3260475383517
2.2464001178741	-3.3385915248903
2.2467999458313	-3.3512231078452
2.2472000122070	-3.3639441662655
2.2476000785828	-3.3767568172524
2.2479999065399	-3.3896635872258
2.2483999729156	-3.4026631742544
2.2488000392914	-3.4157602305998
2.2492001056671	-3.4289538301940
2.2495999336243	-3.4422465104929
2.2500000000000	-3.4556410351999
2.2504000663757	-3.4691385514951
2.2507998943329	-3.4827385755984
2.2511999607086	-3.4964470619216
