#Parameters = {Lm=52.3; Lp=28.6; Wf=2; Wm=56.5; Wp=34.8; h=1.61; tp=0.035; y0=9.8}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
2.2000000476837	-1.0325552244735
2.2004001140594	-1.0349371881606
2.2007999420166	-1.0372764945420
2.2012000083923	-1.0395742918885
2.2016000747681	-1.0418320329694
2.2019999027252	-1.0440496828555
2.2023999691010	-1.0462271751898
2.2028000354767	-1.0483667896554
2.2032001018524	-1.0504676232558
2.2035999298096	-1.0525326274235
2.2039999961853	-1.0545599072140
2.2044000625610	-1.0565530311307
2.2047998905182	-1.0585095026292
2.2051999568939	-1.0604329667917
2.2056000232697	-1.0623230811757
2.2060000896454	-1.0641804385579
2.2063999176025	-1.0660072241886
2.2067999839783	-1.0678025908631
2.2072000503540	-1.0695682286133
2.2076001167297	-1.0713063810024
2.2079999446869	-1.0730146533944
2.2084000110626	-1.0746980470007
2.2088000774384	-1.0763543600389
2.2091999053955	-1.0779864570377
2.2095999717712	-1.0795937371438
2.2100000381470	-1.0811789035004
2.2104001045227	-1.0827418616389
2.2107999324799	-1.0842830212763
2.2111999988556	-1.0858045594681
2.2116000652313	-1.0873073627787
2.2119998931885	-1.0887924865648
2.2123999595642	-1.0902594990676
2.2128000259399	-1.0917114068785
2.2132000923157	-1.0931471173416
2.2135999202728	-1.0945699715271
2.2139999866486	-1.0959803411082
2.2144000530243	-1.0973779661232
2.2147998809814	-1.0987645339395
2.2151999473572	-1.1001409132983
2.2156000137329	-1.1015104228979
2.2160000801086	-1.1028706701541
2.2163999080658	-1.1042238294457
2.2167999744415	-1.1055723995009
2.2172000408173	-1.1069159427586
2.2176001071930	-1.1082559783390
2.2179999351501	-1.1095925581259
2.2184000015259	-1.1109285038945
2.2188000679016	-1.1122623869877
2.2191998958588	-1.1135977202250
2.2195999622345	-1.1149333529985
2.2200000286102	-1.1162728498552
2.2204000949860	-1.1176145340229
2.2207999229431	-1.1189614108418
2.2211999893188	-1.1203129158253
2.2216000556946	-1.1216707198239
2.2219998836517	-1.1230355410875
2.2223999500275	-1.1244087983706
2.2228000164032	-1.1257908972319
2.2232000827789	-1.1271825145653
2.2235999107361	-1.1285856430757
2.2239999771118	-1.1300002419833
2.2244000434875	-1.1314272165116
2.2248001098633	-1.1328677584980
2.2251999378204	-1.1343231627061
2.2256000041962	-1.1357938302374
2.2260000705719	-1.1372800226186
2.2263998985291	-1.1387833642415
2.2267999649048	-1.1403045714771
2.2272000312805	-1.1418440168045
2.2276000976562	-1.1434034754192
2.2279999256134	-1.1449825202454
2.2283999919891	-1.1465828712564
2.2288000583649	-1.1482044790213
2.2291998863220	-1.1498488251015
2.2295999526978	-1.1515157258142
2.2300000190735	-1.1532073489433
