#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery
#Serial Number: SN:210244626787
#Date Time: 2025-11-05 13:00:31.492
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 5 V/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-4.096e-05,0.01456617277117602,-0.007382430743281081
-4.095e-05,0.01810522011788282,-0.01785087719375926
-4.094e-05,0.03580045685141203,-0.01087191289344047
-4.093e-05,0.02518331481130126,-0.01087191289344047
-4.092e-05,0.03226140950471005,-0.01785087719375926
-4.091e-05,0.01810522011788282,-0.007382430743281081
-4.09e-05,0.02164426746458963,-0.003892948593121689
-4.089e-05,0.02518331481129482,-0.007382430743279494
-4.088e-05,0.04995664623824408,-0.01087191289344047
-4.087e-05,0.01102712542446921,-0.01087191289344047
-4.086e-05,0.03933950419812366,-0.02482984149407804
-4.085e-05,0.03226140950470522,-0.01785087719375291
-4.084e-05,0.02164426746458963,-0.003892948593121689
-4.083e-05,0.04287855154483047,-0.01785087719375926
-4.082e-05,-0.003129063962358014,-0.01436139504359987
-4.081e-05,0.03226140950470844,-0.01436139504360304
-4.08e-05,0.02872236215800485,-0.02134035934391548
-4.079e-05,0.01102712542446921,-0.01436139504359987
-4.078e-05,0.02872236215800324,-0.01087191289344047
-4.077e-05,0.02518331481130287,-0.007382430743279495
-4.076e-05,0.03933950419811722,-0.003892948593123276
-4.075e-05,0.007488078077762405,-0.0004034664429622969
-4.074e-05,0.02872236215800324,-0.01087191289344047
-4.073e-05,0.01810522011788282,-0.003892948593121689
-4.072e-05,0.003949030731062035,-0.01436139504359511
-4.071e-05,0.02872236215800324,0.01006498000751588
-4.07e-05,0.03226140950471005,-0.01436139504359987
-4.069e-05,0.01456617277117602,-0.02134035934391865
-4.068e-05,0.02872236215800324,-0.007382430743282668
-4.067e-05,0.02872236215800324,-0.01087191289344047
-4.066e-05,0.03580045685141686,-0.02134035934391865
-4.065e-05,0.02872236215800324,-0.007382430743281081
-4.064e-05,0.02872236215800163,-0.01436139504359987
-4.063e-05,0.02518331481129804,-0.01436139504359987
-4.062e-05,0.02872236215800324,-0.01785087719375926
-4.061e-05,0.02164426746458963,-0.007382430743281081
-4.06e-05,0.02872236215800807,-0.007382430743284255
-4.059e-05,0.03933950419811883,-0.01436139504359669
-4.058e-05,0.02518331481129643,-0.003892948593121689
-4.057e-05,0.02518331481129643,-0.01436139504359987
-4.056e-05,0.02872236215800324,-0.007382430743281081
-4.055e-05,0.02518331481129804,-0.01436139504359669
-4.054e-05,0.01810522011788282,0.01006498000751588
-4.053e-05,0.03226140950471005,-0.01436139504359987
-4.052e-05,0.02518331481129643,-0.01436139504359987
-4.051e-05,0.01810522011788604,-0.02134035934392182
-4.05e-05,0.02518331481129643,-0.02831932364423743
-4.049e-05,0.03226140950471005,-0.003892948593121689
-4.048e-05,0.01810522011788282,-0.0004034664429622969
-4.047e-05,0.02518331481130287,-0.0178508771937545
-4.046e-05,0.03933950419812366,-0.007382430743281081
-4.045e-05,0.04995664623824408,-0.01436139504359987
-4.044e-05,0.02518331481129643,-0.02831932364423743
-4.043e-05,0.02164426746459285,-0.01087191289344365
-4.042e-05,0.02872236215800002,-0.01785087719375609
-4.041e-05,0.01810522011788282,-0.01785087719375926
-4.04e-05,0.01456617277117602,-0.007382430743281081
-4.039e-05,0.01810522011788282,-0.003892948593121689
-4.038e-05,0.03580045685140881,-0.0004034664429638838
-4.037e-05,0.02872236215800324,-0.01785087719375926
-4.036e-05,0.003949030731055598,-0.01785087719375926
-4.035e-05,0.03226140950471005,-0.02134035934391865
-4.034e-05,0.003949030731065254,-0.01436139504359828
-4.033e-05,0.02518331481129643,-0.01087191289344047
-4.032e-05,0.03226140950471005,-0.01436139504359987
-4.031e-05,0.01810522011788282,-0.01087191289344047
-4.03e-05,0.02872236215800002,-0.01087191289344365
-4.029e-05,0.02164426746458963,-0.01785087719375926
-4.028e-05,0.02872236215800324,-0.003892948593121689
-4.027e-05,0.02164426746458963,-0.01087191289344047
-4.026e-05,0.03580045685141042,-0.003892948593123276
-4.025e-05,0.02164426746459606,-0.007382430743279494
-4.024e-05,0.01810522011788282,-0.01436139504359987
-4.023e-05,0.02164426746458963,-0.01436139504359987
-4.022e-05,0.01456617277117602,-0.01785087719375926
-4.021e-05,0.0287223621579968,-0.01785087719375926
-4.02e-05,0.02164426746458963,-0.01436139504359987
-4.019e-05,0.01102712542446921,-0.003892948593121689
-4.018e-05,0.01456617277117602,-0.02134035934391865
-4.017e-05,0.01456617277117602,-0.02482984149407646
-4.016e-05,0.01810522011788282,-0.02482984149407804
-4.015e-05,0.02164426746458963,-0.01087191289344047
-4.014e-05,0.02872236215800324,-0.01436139504359987
-4.013e-05,0.02872236215800485,-0.02134035934391389
-4.012e-05,0.03226140950471005,-0.01087191289344047
-4.011e-05,0.02164426746458963,-0.01087191289344047
-4.01e-05,0.03226140950471005,-0.01087191289344047
-4.009e-05,0.01102712542447243,-0.007382430743284255
-4.008e-05,0.0181052201178796,-0.01436139504359669
-4.007e-05,0.01810522011788282,-0.01087191289344047
-4.006e-05,0.03226140950471005,-0.02831932364423743
-4.005e-05,0.02872236215800002,-0.0108719128934373
-4.004e-05,0.02164426746459285,-0.003892948593124863
-4.003e-05,0.02872236215800324,-0.0004034664429622969
-4.002e-05,0.02164426746458963,-0.01785087719375926
-4.001e-05,0.01810522011788282,-0.01436139504359987
-4e-05,0.01456617277117763,-0.01436139504359987
-3.999e-05,0.01456617277117602,-0.0004034664429622969
-3.998e-05,0.007488078077762405,-0.003892948593121689
-3.997e-05,0.02872236215800324,-0.01785087719375926
-3.996e-05,0.02518331481129965,-0.0108719128934373
-3.995e-05,0.03226140950471005,-0.003892948593121689
-3.994e-05,0.02518331481129643,-0.01436139504359987
-3.993e-05,0.01810522011788282,-0.02134035934391865
-3.992e-05,0.02164426746459124,-0.0318088057943889
-3.991e-05,0.02518331481129482,-0.0143613950436078
-3.99e-05,0.02164426746458963,-0.02831932364423743
-3.989e-05,0.02872236215800324,-0.02482984149407804
-3.988e-05,0.02518331481129804,-0.01087191289343571
-3.987e-05,0.02872236215800163,-0.000403466442967057
-3.986e-05,0.02164426746458963,0.006575497857356487
-3.985e-05,0.03226140950471005,-0.02831932364423743
-3.984e-05,0.03226140950471005,-0.01436139504359987
-3.983e-05,0.03226140950471005,-0.003892948593126449
-3.982e-05,0.01102712542446921,-0.02482984149407804
-3.981e-05,0.007488078077762405,0.01006498000751588
-3.98e-05,0.01456617277117602,-0.02134035934391865
-3.979e-05,0.02872236215800324,-0.01087191289344365
-3.978e-05,0.02872236215800324,-0.01785087719375926
-3.977e-05,0.02872236215800324,-0.01785087719375926
-3.976e-05,0.03580045685141686,-0.01436139504359987
-3.975e-05,0.01102712542448209,-0.01436139504359987
-3.974e-05,0.03933950419811079,-0.01436139504359987
-3.973e-05,0.04641759889153727,-0.003892948593121689
-3.972e-05,0.01456617277117602,-0.007382430743281081
-3.971e-05,0.04641759889152118,-0.0004034664429702311
-3.97e-05,0.0110271254244853,-0.01785087719375133
-3.969e-05,0.03580045685141686,0.003086015707197095
-3.968e-05,0.02872236215800324,0.01006498000751588
-3.967e-05,0.01810522011788282,-0.02831932364423743
-3.966e-05,0.02518331481129321,-0.01436139504360621
-3.965e-05,0.02872236215800324,-0.007382430743281081
-3.964e-05,0.02872236215800324,-0.01436139504359987
-3.963e-05,0.01810522011788282,-0.01087191289344047
-3.962e-05,0.02518331481129482,-0.007382430743282668
-3.961e-05,0.02164426746458963,-0.01087191289344047
-3.96e-05,0.01102712542446921,-0.007382430743281081
-3.959e-05,0.02872236215800324,-0.01087191289344047
-3.958e-05,0.03933950419811561,-0.01436139504359511
-3.957e-05,0.02164426746459767,-0.003892948593126449
-3.956e-05,0.01810522011788282,-0.01436139504359987
-3.955e-05,0.01102712542446921,-0.003892948593121689
-3.954e-05,0.032261409504702,-0.01087191289343571
-3.953e-05,0.01456617277118406,-0.000403466442967057
-3.952e-05,0.04287855154483047,-0.003892948593121689
-3.951e-05,0.03226140950471005,-0.0004034664429622969
-3.95e-05,0.02518331481129643,-0.01785087719375926
-3.949e-05,0.02164426746459124,-0.003892948593128037
-3.948e-05,0.02518331481129643,-0.01087191289344047
-3.947e-05,0.02518331481129643,-0.02482984149407804
-3.946e-05,0.03933950419812366,0.006575497857356487
-3.945e-05,0.02164426746459446,-0.02134035934391072
-3.944e-05,0.03226140950471005,-0.003892948593121689
-3.943e-05,0.01810522011788282,-0.003892948593121689
-3.942e-05,0.02164426746458963,-0.01087191289344047
-3.941e-05,0.02164426746458963,-0.01087191289343571
-3.94e-05,0.02164426746458963,-0.0004034664429622969
-3.939e-05,0.01810522011788282,-0.0004034664429622969
-3.938e-05,0.02518331481129643,-0.01087191289344047
-3.937e-05,0.03580045685140881,-0.0004034664429654706
-3.936e-05,0.01810522011789087,-0.007382430743277908
-3.935e-05,0.02518331481129643,-0.007382430743281081
-3.934e-05,0.04287855154483047,-0.01087191289344047
-3.933e-05,0.02518331481129643,-0.0004034664429622969
-3.932e-05,0.01456617277118085,-0.01436139504359352
-3.931e-05,0.02164426746458963,-0.01087191289344047
-3.93e-05,0.01456617277117602,-0.01087191289344047
-3.929e-05,0.05349569358495088,-0.0004034664429622969
-3.928e-05,0.02872236215800324,0.02053342645797502
-3.927e-05,0.02872236215800324,-0.02134035934391865
-3.926e-05,0.01102712542446921,-0.01087191289344047
-3.925e-05,0.01810522011788282,-0.007382430743281081
-3.924e-05,0.02872236215800646,-0.01785087719375291
-3.923e-05,0.03580045685141686,-0.003892948593121689
-3.922e-05,0.02164426746458963,-0.02134035934391865
-3.921e-05,0.03580045685141686,-0.003892948593121689
-3.92e-05,0.02872236215800002,-0.01785087719375133
-3.919e-05,0.02164426746459285,-0.0004034664429702316
-3.918e-05,0.003949030731055598,-0.02482984149407804
-3.917e-05,0.01810522011788282,0.003086015707197095
-3.916e-05,0.02164426746458963,-0.01436139504359987
-3.915e-05,0.02164426746458963,-0.0004034664429686443
-3.914e-05,0.01810522011788282,-0.003892948593121689
-3.913e-05,0.03226140950471005,-0.01436139504359987
-3.912e-05,0.02872236215800324,-0.007382430743281081
-3.911e-05,0.02518331481129804,-0.0213403593439123
-3.91e-05,0.02872236215800324,0.003086015707197095
-3.909e-05,0.02518331481129643,-0.003892948593121689
-3.908e-05,0.02164426746458963,-0.01785087719375926
-3.907e-05,0.02164426746458963,-0.003892948593124863
-3.906e-05,0.02164426746458963,-0.01087191289344047
-3.905e-05,0.02872236215800324,-0.007382430743281081
-3.904e-05,0.01102712542446921,-0.01087191289344047
