#Parameters = {Lp=28.9; Ls=53.9; Wavelength=2; WavelengthsNumber=2; Wf=2; Wp=40.8; Ws=60; connectorLine=2.6; feedline=10; h=1.61; tc=0.035; unionLine=60; y0=5}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
2.2000000476837	-2.5333389078820
2.2004001140594	-2.5434368633611
2.2007999420166	-2.5534810316909
2.2012000083923	-2.5634724728441
2.2016000747681	-2.5734142032607
2.2019999027252	-2.5833058814596
2.2023999691010	-2.5931492694640
2.2028000354767	-2.6029450829875
2.2032001018524	-2.6126964520295
2.2035999298096	-2.6224023008039
2.2039999961853	-2.6320655914296
2.2044000625610	-2.6416873498946
2.2047998905182	-2.6512690926218
2.2051999568939	-2.6608130252397
2.2056000232697	-2.6703196706180
2.2060000896454	-2.6797918440461
2.2063999176025	-2.6892318091622
2.2067999839783	-2.6986379035138
2.2072000503540	-2.7080148314997
2.2076001167297	-2.7173637423608
2.2079999446869	-2.7266861830257
2.2084000110626	-2.7359838745366
2.2088000774384	-2.7452595155186
2.2091999053955	-2.7545122427661
2.2095999717712	-2.7637477340176
2.2100000381470	-2.7729657830868
2.2104001045227	-2.7821694633701
2.2107999324799	-2.7913589370576
2.2111999988556	-2.8005382181977
2.2116000652313	-2.8097075626612
2.2119998931885	-2.8188699508752
2.2123999595642	-2.8280281525759
2.2128000259399	-2.8371826087347
2.2132000923157	-2.8463361013228
2.2135999202728	-2.8554914166696
2.2139999866486	-2.8646490076003
2.2144000530243	-2.8738127114182
2.2147998809814	-2.8829842694808
2.2151999473572	-2.8921658890695
2.2156000137329	-2.9013578563691
2.2160000801086	-2.9105648256483
2.2163999080658	-2.9197880446965
2.2167999744415	-2.9290287859829
2.2172000408173	-2.9382921802618
2.2176001071930	-2.9475770823759
2.2179999351501	-2.9568866684457
2.2184000015259	-2.9662230066970
2.2188000679016	-2.9755897597422
2.2191998958588	-2.9849872572526
2.2195999622345	-2.9944195074446
2.2200000286102	-3.0038882336963
2.2204000949860	-3.0133950650722
2.2207999229431	-3.0229412889062
2.2211999893188	-3.0325316446690
2.2216000556946	-3.0421672135989
2.2219998836517	-3.0518474781091
2.2223999500275	-3.0615798047582
2.2228000164032	-3.0713621787912
2.2232000827789	-3.0811986969284
2.2235999107361	-3.0910912685890
2.2239999771118	-3.1010425452389
2.2244000434875	-3.1110538300971
2.2248001098633	-3.1211276465921
2.2251999378204	-3.1312674580794
2.2256000041962	-3.1414723576145
2.2260000705719	-3.1517479421764
2.2263998985291	-3.1620940027988
2.2267999649048	-3.1725132759126
2.2272000312805	-3.1830093590919
2.2276000976562	-3.1935820073800
2.2279999256134	-3.2042355524953
2.2283999919891	-3.2149705447473
2.2288000583649	-3.2257902538457
2.2291998863220	-3.2366949640478
2.2295999526978	-3.2476893557525
2.2300000190735	-3.2587738106164
2.2304000854492	-3.2699508874758
2.2307999134064	-3.2812220176300
2.2311999797821	-3.2925902043833
2.2316000461578	-3.3040569116955
2.2320001125336	-3.3156242269488
2.2323999404907	-3.3272949692839
2.2328000068665	-3.3390702633346
2.2332000732422	-3.3509529525287
2.2335999011993	-3.3629417601012
2.2339999675751	-3.3750437935645
2.2344000339508	-3.3872576604145
2.2348001003265	-3.3995878801810
2.2351999282837	-3.4120326970044
2.2355999946594	-3.4245968640884
2.2360000610352	-3.4372812904430
2.2363998889923	-3.4500888189168
2.2367999553680	-3.4630204525968
2.2372000217438	-3.4760772853952
2.2376000881195	-3.4892629475510
2.2379999160767	-3.5025783786204
2.2383999824524	-3.5160266221732
2.2388000488281	-3.5296066982915
2.2392001152039	-3.5433240943767
2.2395999431610	-3.5571782820713
2.2400000095367	-3.5711718866577
2.2404000759125	-3.5853042442172
2.2407999038696	-3.5995815598700
2.2411999702454	-3.6140042678270
2.2416000366211	-3.6285705011338
2.2420001029968	-3.6432863953153
2.2423999309540	-3.6581525599162
2.2427999973297	-3.6731701238800
2.2432000637054	-3.6883408983663
2.2435998916626	-3.7036667332899
2.2439999580383	-3.7191492687881
2.2444000244141	-3.7347896726653
2.2448000907898	-3.7505913099972
2.2451999187469	-3.7665543986919
2.2455999851227	-3.7826804222738
2.2460000514984	-3.7989726964391
2.2464001178741	-3.8154312537332
2.2467999458313	-3.8320579840785
2.2472000122070	-3.8488560406257
2.2476000785828	-3.8658255044207
2.2479999065399	-3.8829688353081
2.2483999729156	-3.9002877432936
2.2488000392914	-3.9177831721393
2.2492001056671	-3.9354564371749
2.2495999336243	-3.9533104044266
2.2500000000000	-3.9713453564728
2.2504000663757	-3.9895651747670
2.2507998943329	-4.0079677531177
2.2511999607086	-4.0265585324455
2.2516000270844	-4.0453378362968
2.2520000934601	-4.0643063115670
2.2523999214172	-4.0834658003403
2.2527999877930	-4.1028184028637
2.2532000541687	-4.1223664316786
2.2535998821259	-4.1421091741282
2.2539999485016	-4.1620514166915
2.2544000148773	-4.1821927655010
2.2548000812531	-4.2025346209863
2.2551999092102	-4.2230802671728
2.2555999755859	-4.2438264171394
2.2560000419617	-4.2647816940567
2.2564001083374	-4.2859443063954
2.2567999362946	-4.3073148368743
2.2572000026703	-4.3288968114961
2.2576000690460	-4.3506903432030
2.2579998970032	-4.3726980754882
2.2583999633789	-4.3949200864942
2.2588000297546	-4.4173603021910
2.2592000961304	-4.4400193716505
2.2595999240875	-4.4628980862634
2.2599999904633	-4.4859995103100
2.2604000568390	-4.5093240098152
2.2607998847961	-4.5328746791874
2.2611999511719	-4.5566510091087
2.2616000175476	-4.5806554100869
2.2620000839233	-4.6048905061770
2.2623999118805	-4.6293601721394
2.2627999782562	-4.6540601807457
2.2632000446320	-4.6789959669858
2.2636001110077	-4.7041704216513
2.2639999389648	-4.7295822077035
2.2644000053406	-4.7552342311520
2.2648000717163	-4.7811294501266
2.2651998996735	-4.8072691640176
2.2655999660492	-4.8336525445604
2.2660000324249	-4.8602848555212
2.2664000988007	-4.8871660040101
2.2667999267578	-4.9142985582476
2.2671999931335	-4.9416839048356
2.2676000595093	-4.9693241992639
2.2679998874664	-4.9972211288253
2.2683999538422	-5.0253761168858
2.2688000202179	-5.0537927423551
2.2692000865936	-5.0824703219478
2.2695999145508	-5.1114124277514
2.2699999809265	-5.1406205668121
2.2704000473022	-5.1700974107747
2.2708001136780	-5.1998438793375
2.2711999416351	-5.2298627649456
2.2716000080109	-5.2601554192400
2.2720000743866	-5.2907235178266
2.2723999023438	-5.3215715118800
2.2727999687195	-5.3526983604410
2.2732000350952	-5.3841086268512
2.2736001014709	-5.4158049521567
2.2739999294281	-5.4477849846397
2.2743999958038	-5.4800557482880
2.2748000621796	-5.5126170294367
2.2751998901367	-5.5454725246086
2.2755999565125	-5.5786229025185
2.2760000228882	-5.6120720922970
2.2764000892639	-5.6458204364061
2.2767999172211	-5.6798734815671
2.2771999835968	-5.7142304955703
2.2776000499725	-5.7488955662638
2.2780001163483	-5.7838704119253
2.2783999443054	-5.8191578662299
2.2788000106812	-5.8547606284212
2.2792000770569	-5.8906810086979
2.2795999050140	-5.9269220901323
2.2799999713898	-5.9634849465264
2.2804000377655	-6.0003749647656
2.2808001041412	-6.0375927985666
2.2811999320984	-6.0751415581412
2.2815999984741	-6.1130247964086
2.2820000648499	-6.1512452486415
2.2823998928070	-6.1898045488561
2.2827999591827	-6.2287084304253
2.2832000255585	-6.2679567384293
2.2836000919342	-6.3075534170224
2.2839999198914	-6.3475036553075
2.2843999862671	-6.3878072958371
2.2848000526428	-6.4284706815354
2.2852001190186	-6.4694957219578
2.2855999469757	-6.5108836239473
2.2860000133514	-6.5526425168405
2.2864000797272	-6.5947702614631
2.2867999076843	-6.6372758154107
2.2871999740601	-6.6801586140969
2.2876000404358	-6.7234247461078
2.2880001068115	-6.7670759162632
2.2883999347687	-6.8111176626117
2.2888000011444	-6.8555522198522
2.2892000675201	-6.9003854641597
2.2895998954773	-6.9456189283850
2.2899999618530	-6.9912595423232
2.2904000282288	-7.0373083176544
2.2908000946045	-7.0837710400825
2.2911999225616	-7.1306517695866
2.2915999889374	-7.1779549802629
2.2920000553131	-7.2256855344844
2.2923998832703	-7.2738472896551
2.2927999496460	-7.3224440646833
2.2932000160217	-7.3714829308469
2.2936000823975	-7.4209659548464
2.2939999103546	-7.4708984741685
2.2943999767303	-7.5212873615257
2.2948000431061	-7.5721360453069
2.2952001094818	-7.6234502284365
2.2955999374390	-7.6752349991948
2.2960000038147	-7.7274959457282
2.2964000701904	-7.7802398479273
2.2967998981476	-7.8334676316438
2.2971999645233	-7.8871898130160
2.2976000308990	-7.9414113193736
2.2980000972748	-7.9961366941115
2.2983999252319	-8.0513744072503
2.2987999916077	-8.1071274902137
2.2992000579834	-8.1634046043528
2.2995998859406	-8.2202115246833
2.2999999523163	-8.2775545105506
2.3004000186920	-8.3354410208214
2.3008000850677	-8.3938772685826
2.3011999130249	-8.4528715113805
2.3015999794006	-8.5124289159148
2.3020000457764	-8.5725586379693
2.3024001121521	-8.6332691250249
2.3027999401093	-8.6945660733392
2.3032000064850	-8.7564583246785
2.3036000728607	-8.8189529548934
2.3039999008179	-8.8820592596708
2.3043999671936	-8.9457860317255
2.3048000335693	-9.0101425873247
2.3052000999451	-9.0751358272932
2.3055999279022	-9.1407755019866
2.3059999942780	-9.2070724724082
2.3064000606537	-9.2740343688619
2.3067998886108	-9.3416720143076
2.3071999549866	-9.4099965191781
2.3076000213623	-9.4790155190927
2.3080000877380	-9.5487406508009
2.3083999156952	-9.6191839892749
2.3087999820709	-9.6903553626299
2.3092000484467	-9.7622670226942
2.3096001148224	-9.8349309949993
2.3099999427795	-9.9083567341749
2.3104000091553	-9.9825600708755
2.3108000755310	-10.057551331913
2.3111999034882	-10.133343578124
2.3115999698639	-10.209950904029
2.3120000362396	-10.287387247769
2.3124001026154	-10.365667898513
2.3127999305725	-10.444804705429
2.3131999969482	-10.524812751762
2.3136000633240	-10.605709732420
2.3139998912811	-10.687508565602
2.3143999576569	-10.770227642651
2.3148000240326	-10.853882302750
2.3152000904083	-10.938491495276
2.3155999183655	-11.024070168446
2.3159999847412	-11.110639085295
2.3164000511169	-11.198217125602
2.3168001174927	-11.286820065145
2.3171999454498	-11.376471943780
2.3176000118256	-11.467190494098
2.3180000782013	-11.558998154985
2.3183999061584	-11.651917780205
2.3187999725342	-11.745969776356
2.3192000389099	-11.841177917419
2.3196001052856	-11.937568320943
2.3199999332428	-12.035161526337
2.3203999996185	-12.133986953288
2.3208000659943	-12.234071081459
2.3211998939514	-12.335439375207
2.3215999603271	-12.438120549336
2.3220000267029	-12.542145000981
2.3224000930786	-12.647542890468
2.3227999210358	-12.754343975433
2.3231999874115	-12.862580352688
2.3236000537872	-12.972288390283
2.3239998817444	-13.083503263174
2.3243999481201	-13.196258504094
2.3248000144958	-13.310591373910
2.3252000808716	-13.426542905877
2.3255999088287	-13.544153279239
2.3259999752045	-13.663462797460
2.3264000415802	-13.784515001571
2.3268001079559	-13.907356516594
2.3271999359131	-14.032033615496
2.3276000022888	-14.158595985325
2.3280000686646	-14.287092067472
2.3283998966217	-14.417577251571
2.3287999629974	-14.550105336421
2.3292000293732	-14.684734791829
2.3296000957489	-14.821522133265
2.3299999237061	-14.960534144414
2.3303999900818	-15.101832270186
2.3308000564575	-15.245484880299
2.3311998844147	-15.391564613831
2.3315999507904	-15.540142894860
2.3320000171661	-15.691297292513
2.3324000835419	-15.845108877543
2.3327999114990	-16.001661743857
2.3331999778748	-16.161043599229
2.3336000442505	-16.323344513658
2.3340001106262	-16.488664896885
