" 3D Run ID","conPlaceY","y0","Lp","Wp"
"1","21","10","29.4","35"
"2","21","10","29.4","35"
"3","20.9","9.8","28.6","34.8"
"4","20.9","9.8","28.6","34.8"
"0","","","",""
