#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery
#Serial Number: SN:210244626787
#Date Time: 2025-11-03 10:35:09.038
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2 V Hyst.: 0 V HoldOff: 0 s
#Channel 1: Range: 5 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 5 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-4.080225352112676e-05,0.02164426746458963,-0.01436139504359987
-4.079225352112676e-05,-0.01020715865577163,-0.007382430743281081
-4.078225352112676e-05,0.01102712542446921,-0.007382430743287429
-4.077225352112676e-05,0.01102712542446921,-0.0213403593439123
-4.076225352112676e-05,0.02518331481129643,-0.003892948593121689
-4.075225352112676e-05,0.03933950419812366,-0.003892948593121689
-4.074225352112676e-05,0.02518331481129643,-0.02134035934391865
-4.073225352112676e-05,-0.006668111309050335,-0.01087191289344523
-4.072225352112676e-05,0.007488078077762405,-0.01087191289344047
-4.071225352112676e-05,0.003949030731055598,-0.01436139504359987
-4.070225352112676e-05,0.01810522011788282,-0.01785087719375926
-4.069225352112676e-05,0.02872236215799359,-0.007382430743284255
-4.068225352112676e-05,0.007488078077762405,-0.01436139504359987
-4.067225352112676e-05,0.000409983384348792,-0.01087191289344047
-4.066225352112676e-05,0.007488078077762405,-0.007382430743281081
-4.065225352112676e-05,0.007488078077762405,-0.01436139504359511
-4.064225352112676e-05,0.007488078077762405,-0.003892948593126449
-4.063225352112676e-05,0.007488078077762405,0.006575497857356487
-4.062225352112676e-05,0.007488078077762405,-0.007382430743281081
-4.061225352112676e-05,0.01810522011788443,-0.0004034664429622969
-4.060225352112676e-05,0.02164426746458802,-0.0004034664429622969
-4.059225352112676e-05,0.02164426746458963,-0.02134035934391865
-4.058225352112676e-05,0.01810522011788282,-0.01785087719375926
-4.057225352112676e-05,0.003949030731055598,-0.0004034664429622969
-4.056225352112676e-05,0.007488078077760795,-0.01087191289343571
-4.055225352112676e-05,0.007488078077762405,-0.01436139504359987
-4.054225352112676e-05,0.007488078077762405,-0.007382430743281081
-4.053225352112676e-05,0.01810522011788282,-0.02134035934391865
-4.052225352112676e-05,-0.01728525334917397,0.003086015707193922
-4.051225352112676e-05,0.007488078077762405,-0.003892948593121689
-4.050225352112676e-05,0.01810522011788282,-0.0004034664429622969
-4.049225352112676e-05,0.01102712542446921,-0.0004034664429622969
-4.048225352112676e-05,0.02164426746458963,-0.0178508771937545
-4.047225352112676e-05,0.02164426746458963,-0.007382430743285841
-4.046225352112676e-05,0.003949030731055598,0.003086015707197095
-4.045225352112676e-05,0.01102712542446921,-0.02482984149407804
-4.044225352112676e-05,0.003949030731063645,0.003086015707190748
-4.043225352112676e-05,0.02164426746458158,-0.01087191289343413
-4.042225352112676e-05,0.01102712542446921,-0.003892948593121689
-4.041225352112676e-05,0.003949030731055598,-0.007382430743281081
-4.040225352112676e-05,0.01456617277117602,-0.01785087719375926
-4.039225352112676e-05,0.003949030731060425,-0.02482984149407487
-4.038225352112676e-05,0.01456617277117602,-0.003892948593121689
-4.037225352112676e-05,-0.01020715865577163,-0.003892948593121689
-4.036225352112676e-05,0.01456617277117602,-0.007382430743281081
-4.035225352112676e-05,0.02518331481128195,-0.01436139504359193
-4.034225352112676e-05,-0.00666811130906482,0.003086015707197095
-4.033225352112676e-05,0.007488078077762405,-0.0004034664429622969
-4.032225352112676e-05,-0.003129063962358014,0.01355446215767527
-4.031225352112676e-05,0.01456617277117924,-0.007382430743277908
-4.030225352112676e-05,0.02164426746458963,-0.0004034664429622969
-4.029225352112676e-05,-0.01020715865577163,0.01006498000751588
