Time (s)	Channel 1 (V)
-0.30480111506451335	5.230663983666407
-0.30471566506451336	5.230663983666407
-0.3046302150645134	5.230663983666407
-0.3045447650645134	5.230663983666407
-0.30445931506451335	5.230663983666405
-0.30437386506451336	5.227124936319701
-0.3042884150645134	5.227124936319701
-0.3042029650645134	5.230663983666407
-0.3041175150645134	5.2271249363197025
-0.30403206506451336	5.227124936319701
-0.30394661506451337	5.227124936319701
-0.3038611650645134	5.227124936319701
-0.3037757150645134	5.227124936319701
-0.30369026506451335	5.227124936319701
-0.30360481506451337	5.227124936319701
-0.3035193650645134	5.227124936319701
-0.3034339150645134	5.227124936319701
-0.30334846506451335	5.223585888972995
-0.30326301506451336	5.227124936319701
-0.3031775650645134	5.223585888972993
-0.3030921150645134	5.223585888972993
-0.30300666506451335	5.223585888972993
-0.30292121506451336	5.223585888972993
-0.3028357650645134	5.223585888972993
-0.3027503150645134	5.223585888972993
-0.3026648650645134	5.223585888972993
-0.30257941506451336	5.223585888972993
-0.30249396506451337	5.223585888972993
-0.3024085150645134	5.223585888972993
-0.3023230650645134	5.223585888972993
-0.30223761506451335	5.223585888972993
-0.30215216506451337	5.220046841626287
-0.3020667150645134	5.220046841626287
-0.3019812650645134	5.223585888972991
-0.30189581506451335	5.220046841626287
-0.30181036506451336	5.220046841626287
-0.3017249150645134	5.220046841626287
-0.3016394650645134	5.220046841626287
-0.30155401506451335	5.220046841626287
-0.30146856506451336	5.220046841626287
-0.3013831150645134	5.220046841626287
-0.3012976650645134	5.21650779427958
-0.3012122150645134	5.21650779427958
-0.30112676506451336	5.220046841626287
-0.30104131506451337	5.220046841626287
-0.3009558650645134	5.220046841626287
-0.3008704150645134	5.220046841626287
-0.30078496506451335	5.220046841626287
-0.30069951506451337	5.227124936319701
-0.3006140650645134	5.241281125706527
-0.3005286150645134	5.241281125706527
-0.30044316506451335	5.241281125706545
-0.30035771506451336	5.2802106465203025
-0.3002722650645134	5.209429699586166
-0.3001868150645134	5.011243048170585
-0.30010136506451335	4.908610675116074
-0.30001591506451336	4.876759248995727
-0.2999304650645134	4.851985917568779
-0.2998450150645134	4.834290680835245
-0.2997595650645134	4.827212586141835
-0.29967411506451336	4.823673538795124
-0.29958866506451337	4.823673538795124
-0.2995032150645134	4.827212586141831
-0.2994177650645134	4.830751633488536
-0.29933231506451335	4.830751633488537
-0.29924686506451337	4.834290680835245
-0.2991614150645134	4.830751633488537
-0.2990759650645134	4.830751633488537
-0.29899051506451335	4.834290680835245
-0.29890506506451336	4.834290680835245
-0.2988196150645134	4.830751633488537
-0.2987341650645134	4.834290680835245
-0.29864871506451335	4.841368775528663
-0.29856326506451336	4.851985917568779
-0.2984778150645134	4.862603059608899
-0.2983923650645134	4.869681154302313
-0.29830691506451334	4.876759248995729
-0.29822146506451336	4.880298296342433
-0.29813601506451337	4.890915438382553
-0.2980505650645134	4.890915438382553
-0.2979651150645134	4.8802982963424375
-0.29787966506451335	4.88383734368914
-0.29779421506451337	4.880298296342433
-0.2977087650645134	4.887376391035847
-0.2976233150645134	4.8979935330759625
-0.29753786506451335	4.915688769809505
-0.29745241506451336	4.926305911849622
-0.2973669650645134	4.9652354326633965
-0.2972815150645134	5.06078971102448
-0.29719606506451335	5.152804942038885
-0.29711061506451336	5.212968746932873
-0.2970251650645134	5.223585888972993
-0.2969397150645134	5.223585888972993
-0.29685426506451335	5.220046841626287
-0.29676881506451336	5.220046841626287
-0.29668336506451337	5.21650779427958
-0.2965979150645134	5.21650779427958
-0.2965124650645134	5.212968746932875
-0.29642701506451336	5.212968746932873
-0.29634156506451337	5.212968746932873
-0.2962561150645134	5.212968746932873
-0.2961706650645134	5.209429699586168
-0.29608521506451335	5.209429699586166
-0.29599976506451336	5.209429699586166
-0.2959143150645134	5.209429699586166
-0.2958288650645134	5.209429699586166
-0.29574341506451335	5.209429699586166
-0.29565796506451336	5.209429699586166
-0.2955725150645134	5.209429699586166
-0.2954870650645134	5.205890652239459
-0.29540161506451335	5.205890652239459
-0.29531616506451336	5.205890652239459
-0.29523071506451337	5.205890652239459
-0.2951452650645134	5.205890652239459
-0.2950598150645134	5.205890652239459
-0.29497436506451336	5.205890652239459
-0.29488891506451337	5.202351604892753
-0.2948034650645134	5.202351604892753
-0.2947180150645134	5.198812557546047
-0.29463256506451335	5.198812557546043
-0.29454711506451337	5.195273510199339
-0.2944616650645134	5.195273510199339
-0.2943762150645134	5.195273510199339
-0.29429076506451335	5.195273510199339
-0.29420531506451336	5.195273510199339
-0.2941198650645134	5.195273510199339
-0.2940344150645134	5.223585888972993
-0.29394896506451335	5.51732681874982
-0.29386351506451336	5.871231553420339
-0.29377806506451337	6.097730583609574
-0.2936926150645134	6.0658791574892135
-0.2936071650645134	6.076496299529329
-0.29352171506451336	6.083574394222747
-0.29343626506451337	6.090652488916161
-0.2933508150645134	6.090652488916161
-0.2932653650645134	6.090652488916161
-0.29317991506451335	6.090652488916161
-0.29309446506451337	6.090652488916161
-0.2930090150645134	6.087113441569453
-0.2929235650645134	6.083574394222747
-0.29283811506451335	6.083574394222746
-0.29275266506451336	6.08003534687604
-0.2926672150645134	6.08003534687604
