#Parameters = {F=10; Fl=2; Lc=2; Lm=70; Lp=28.7; Ss=2.6; Wf=2; Wm=60; Wp=39.6; h=1.61; s=60; tp=0.035; y0=5}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
2.2000000476837	-2.3634534336666
2.2004001140594	-2.3743661327946
2.2007999420166	-2.3852289634825
2.2012000083923	-2.3960433986371
2.2016000747681	-2.4068093256781
2.2019999027252	-2.4175261297115
2.2023999691010	-2.4281964123374
2.2028000354767	-2.4388167540887
2.2032001018524	-2.4493905113304
2.2035999298096	-2.4599154931907
2.2039999961853	-2.4703936952448
2.2044000625610	-2.4808249698733
2.2047998905182	-2.4912084877894
2.2051999568939	-2.5015475403460
2.2056000232697	-2.5118405808634
2.2060000896454	-2.5220874132384
2.2063999176025	-2.5322912964559
2.2067999839783	-2.5424499505337
2.2072000503540	-2.5525658864565
2.2076001167297	-2.5626395927291
2.2079999446869	-2.5726721556379
2.2084000110626	-2.5826626689240
2.2088000774384	-2.5926149599466
2.2091999053955	-2.6025267189519
2.2095999717712	-2.6124017974078
2.2100000381470	-2.6222377117051
2.2104001045227	-2.6320390858558
2.2107999324799	-2.6418049373291
2.2111999988556	-2.6515362426521
2.2116000652313	-2.6612346851264
2.2119998931885	-2.6709021948895
2.2123999595642	-2.6805395834397
2.2128000259399	-2.6901473744581
2.2132000923157	-2.6997277598514
2.2135999202728	-2.7092805503260
2.2139999866486	-2.7188079750152
2.2144000530243	-2.7283118947871
2.2147998809814	-2.7377930940876
2.2151999473572	-2.7472541546399
2.2156000137329	-2.7566938820265
2.2160000801086	-2.7661160760261
2.2163999080658	-2.7755209568467
2.2167999744415	-2.7849123226735
2.2172000408173	-2.7942890668471
2.2176001071930	-2.8036534003559
2.2179999351501	-2.8130080614657
2.2184000015259	-2.8223544228598
2.2188000679016	-2.8316919121355
2.2191998958588	-2.8410246099868
2.2195999622345	-2.8503541173649
2.2200000286102	-2.8596807696926
2.2204000949860	-2.8690071165750
2.2207999229431	-2.8783355427268
2.2211999893188	-2.8876657310222
2.2216000556946	-2.8970012100529
2.2219998836517	-2.9063439519182
2.2223999500275	-2.9156951653281
2.2228000164032	-2.9250571623633
2.2232000827789	-2.9344297120988
2.2235999107361	-2.9438176694039
2.2239999771118	-2.9532207859784
2.2244000434875	-2.9626408581118
2.2248001098633	-2.9720816547541
2.2251999378204	-2.9815435297591
2.2256000041962	-2.9910285376084
2.2260000705719	-3.0005394312844
2.2263998985291	-3.0100758226621
2.2267999649048	-3.0196422150748
2.2272000312805	-3.0292387479396
2.2276000976562	-3.0388698814391
2.2279999256134	-3.0485333227471
2.2283999919891	-3.0582358062340
2.2288000583649	-3.0679750021210
2.2291998863220	-3.0777554454690
2.2295999526978	-3.0875785313758
2.2300000190735	-3.0974456035335
2.2304000854492	-3.1073590737926
2.2307999134064	-3.1173214882431
2.2311999797821	-3.1273333903674
2.2316000461578	-3.1373977125053
2.2320001125336	-3.1475166975853
2.2323999404907	-3.1576906800015
2.2328000068665	-3.1679226256299
2.2332000732422	-3.1782147609845
2.2335999011993	-3.1885689273411
2.2339999675751	-3.1989856398585
2.2344000339508	-3.2094700072032
2.2348001003265	-3.2200200888479
2.2351999282837	-3.2306410171415
2.2355999946594	-3.2413334422289
2.2360000610352	-3.2520972228016
2.2363998889923	-3.2629379811160
2.2367999553680	-3.2738556212502
2.2372000217438	-3.2848516313268
2.2376000881195	-3.2959280499543
2.2379999160767	-3.3070885149406
2.2383999824524	-3.3183330343403
2.2388000488281	-3.3296644476907
2.2392001152039	-3.3410827668223
2.2395999431610	-3.3525932473881
2.2400000095367	-3.3641935520251
2.2404000759125	-3.3758890926788
2.2407999038696	-3.3876797096852
2.2411999702454	-3.3995686695598
2.2416000366211	-3.4115559587692
2.2420001029968	-3.4236455921816
2.2423999309540	-3.4358366320690
2.2427999973297	-3.4481339674793
2.2432000637054	-3.4605370917713
2.2435998916626	-3.4730483735360
2.2439999580383	-3.4856703335760
2.2444000244141	-3.4984037948228
2.2448000907898	-3.5112500846819
2.2451999187469	-3.5242116976151
2.2455999851227	-3.5372910156316
2.2460000514984	-3.5504879330773
2.2464001178741	-3.5638063626030
2.2467999458313	-3.5772471815619
2.2472000122070	-3.5908109680791
2.2476000785828	-3.6045008701472
2.2479999065399	-3.6183186939272
2.2483999729156	-3.6322643991566
2.2488000392914	-3.6463417685622
2.2492001056671	-3.6605503375284
2.2495999336243	-3.6748928641291
2.2500000000000	-3.6893716278859
2.2504000663757	-3.7039870312038
2.2507998943329	-3.7187415885186
2.2511999607086	-3.7336367441796
2.2516000270844	-3.7486745743292
2.2520000934601	-3.7638552439523
2.2523999214172	-3.7791819943650
2.2527999877930	-3.7946547666720
2.2532000541687	-3.8102758346808
2.2535998821259	-3.8260476910648
2.2539999485016	-3.8419715005264
2.2544000148773	-3.8580467641774
2.2548000812531	-3.8742788597768
2.2551999092102	-3.8906662932266
2.2555999755859	-3.9072129299179
2.2560000419617	-3.9239175411145
2.2564001083374	-3.9407843993078
2.2567999362946	-3.9578121980391
2.2572000026703	-3.9750062385336
2.2576000690460	-3.9923649626745
2.2579998970032	-4.0098913203618
2.2583999633789	-4.0275859094281
2.2588000297546	-4.0454511695559
2.2592000961304	-4.0634882654999
2.2595999240875	-4.0816978919424
2.2599999904633	-4.1000835549414
2.2604000568390	-4.1186447365905
2.2607998847961	-4.1373838697272
2.2611999511719	-4.1563025711363
2.2616000175476	-4.1754020270522
2.2620000839233	-4.1946842192995
2.2623999118805	-4.2141504765933
2.2627999782562	-4.2338019489256
2.2632000446320	-4.2536409206464
2.2636001110077	-4.2736676917433
2.2639999389648	-4.2938831466331
2.2644000053406	-4.3142931775241
2.2648000717163	-4.3348939545870
2.2651998996735	-4.3556907660176
2.2655999660492	-4.3766822703978
2.2660000324249	-4.3978728036714
2.2664000988007	-4.4192612763853
2.2667999267578	-4.4408520867072
2.2671999931335	-4.4626426888881
2.2676000595093	-4.4846390551812
2.2679998874664	-4.5068402928592
2.2683999538422	-4.5292485475968
2.2688000202179	-4.5518646919881
2.2692000865936	-4.5746900710989
2.2695999145508	-4.5977269801592
2.2699999809265	-4.6209797786616
2.2704000473022	-4.6444440704116
2.2708001136780	-4.6681265707439
2.2711999416351	-4.6920266008533
2.2716000080109	-4.7161450620004
2.2720000743866	-4.7404852005603
2.2723999023438	-4.7650477180581
2.2727999687195	-4.7898340920512
2.2732000350952	-4.8148488280454
2.2736001014709	-4.8400898799077
2.2739999294281	-4.8655600779148
2.2743999958038	-4.8912610844554
2.2748000621796	-4.9171958542827
2.2751998901367	-4.9433643518592
2.2755999565125	-4.9697685650555
2.2760000228882	-4.9964102302274
2.2764000892639	-5.0232912866510
2.2767999172211	-5.0504158470123
2.2771999835968	-5.0777808845516
2.2776000499725	-5.1053930412975
2.2780001163483	-5.1332495806085
2.2783999443054	-5.1613558065410
2.2788000106812	-5.1897121802777
2.2792000770569	-5.2183216720851
2.2795999050140	-5.2471839962244
2.2799999713898	-5.2763021543533
2.2804000377655	-5.3056793634333
2.2808001041412	-5.3353154809968
2.2811999320984	-5.3652126392239
2.2815999984741	-5.3953751456450
2.2820000648499	-5.4258022791348
